time,tag,value
2025-12-06T09:39:39Z,DCSRelay/VI1GGIO137.SPCSO.stVal,FALSE
2025-12-06T09:39:39Z,DCSRelay/VI1GGIO137.SPCSO.q,0000000000000
2025-12-06T09:39:39Z,DCSRelay/VI1GGIO137.SPCSO.t,2025-12-02T22:52:57Z
2025-12-06T09:39:40Z,DCSRelay/VI1GGIO137.NamPlt.vendor,Schneider Electric
2025-12-06T09:39:40Z,DCSRelay/VI1GGIO137.NamPlt.d,Virtual input 1
2025-12-06T09:39:40Z,DCSRelay/LLN0.NamPlt.swRev,V30.205
2025-12-06T09:39:40Z,DCSRelay/VampLPHD1.PhyNam.model,P3U30-5AAA1BCAA
2025-12-06T09:39:42Z,DCSRelay/VI1GGIO137.SPCSO.stVal,FALSE
2025-12-06T09:39:42Z,DCSRelay/VI1GGIO137.SPCSO.q,0000000000000
2025-12-06T09:39:42Z,DCSRelay/VI1GGIO137.SPCSO.t,2025-12-02T22:52:57Z
2025-12-06T09:39:42Z,DCSRelay/VI1GGIO137.NamPlt.vendor,Schneider Electric
2025-12-06T09:39:43Z,DCSRelay/VI1GGIO137.NamPlt.d,Virtual input 1
2025-12-06T09:39:43Z,DCSRelay/LLN0.NamPlt.swRev,V30.205
2025-12-06T09:39:43Z,DCSRelay/VampLPHD1.PhyNam.model,P3U30-5AAA1BCAA
2025-12-06T09:39:44Z,DCSRelay/VI1GGIO137.SPCSO.stVal,FALSE
2025-12-06T09:39:45Z,DCSRelay/VI1GGIO137.SPCSO.q,0000000000000
2025-12-06T09:39:45Z,DCSRelay/VI1GGIO137.SPCSO.t,2025-12-02T22:52:57Z
2025-12-06T09:39:45Z,DCSRelay/VI1GGIO137.NamPlt.vendor,Schneider Electric
2025-12-06T09:39:45Z,DCSRelay/VI1GGIO137.NamPlt.d,Virtual input 1
2025-12-06T09:39:46Z,DCSRelay/LLN0.NamPlt.swRev,V30.205
2025-12-06T09:39:46Z,DCSRelay/VampLPHD1.PhyNam.model,P3U30-5AAA1BCAA
2025-12-06T09:39:47Z,DCSRelay/VI1GGIO137.SPCSO.stVal,FALSE
2025-12-06T09:39:47Z,DCSRelay/VI1GGIO137.SPCSO.q,0000000000000
2025-12-06T09:39:48Z,DCSRelay/VI1GGIO137.SPCSO.t,2025-12-02T22:52:57Z
2025-12-06T09:39:48Z,DCSRelay/VI1GGIO137.NamPlt.vendor,Schneider Electric
2025-12-06T09:39:48Z,DCSRelay/VI1GGIO137.NamPlt.d,Virtual input 1
2025-12-06T09:39:48Z,DCSRelay/LLN0.NamPlt.swRev,V30.205
2025-12-06T09:39:49Z,DCSRelay/VampLPHD1.PhyNam.model,P3U30-5AAA1BCAA
